module,section_code,document_name,applicability,normalization_status,check_index,validation_check
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","5","Сверить сведения с заявкой и связанными разделами досье."
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","6","Сверить наименование, адрес и роль каждой производственной площадки с заявкой и 3.2.P/3.2.S."
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","7","GMP: сертификат в полном объёме; дата инспекции не старше установленного срока; охват заявленной площадки и операции."
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","8","Сверить качественный/количественный состав с формой заявки, 3.2.P.1, 3.2.P.3.2 и макетами/ОХЛП."
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","9","Сверить лекарственную форму, дозировку/концентрацию и количество единиц упаковки с заявкой."
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","10","Проверить наличие казахской и русской версий, структуру, актуальность, соответствие ДСМ-101/Реш.88 и данным заявки."
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","11","проверить действительность сертификата и дату последней инспекции"
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","12","сверить наименование и адрес производственной площадки с заявкой"
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","13","если площадок несколько — проверить наличие документов по каждой площадке"
"Модуль 1","1.2.2","Лицензионный договор (соглашение) на право производства (до истечения срока действия патента на оригинальный препарат)","needs_new_param","needs_param","1","Копии действующих патентов* в отношении регистрируемого лекарственного препарата."
